,Name,Address,contactPerson,phone
1,Nebraska Furniture Mart,"700 S 72nd St, Omaha, NE 68114-4614","Ms. Breanna Blycker, Online Support Manager",(402) 397-6100
2,Nebraska Furniture Mart,"700 S 72nd St, Omaha, NE 68114-4614","Ms. Breanna Blycker, Online Support Manager",(402) 397-6100
3,Ace Handyman Services Omaha,"8424 W Center Rd Ste 213, Omaha, NE 68124-3138","Mr. Turner J. Schenzel, Owner",(402) 702-7274
4,Floor Coverings International Metro Omaha,"358 N 76th St, Omaha, NE 68114","Mr. Dan A. Adkins, Owner",(402) 281-1995
5,Kelly's Carpet Omaha,"4600 S 90th St, Omaha, NE 68127-1317","Mr. Mike Hughes, President",(402) 593-7144
6,Linear Innovations,"Omaha, NE 68124","Mr. Brock S. Booker, Owner",(402) 618-7203
7,"Midland Flooring, LLC","7506 Ontario St, Omaha, NE 68124-4033","Mr. Jim Sorrell, Owner",(402) 934-9969
8,"DPO Construction Company, Inc.","5843 Grover St, Omaha, NE 68106-3724","Mr. Dennis P. Ostdiek, President",(402) 592-1060
9,"A & K Home Services, Inc.","Omaha, NE 68106","Mr. Marty Adams, President",(402) 312-5576
10,Boyles Floors,"2720 S 60th St, Omaha, NE 68106-2928","Mr. Zach Boyles, Owner",(531) 222-7759
11,"Sterling Pride Construction, LLC","Omaha, NE 68106","Mr. Lance (Sterling) S. Horn, Owner",(402) 290-3864
12,Beautiful Floors,"Omaha, NE 68106","Mr. Micah C. Preiksaitis, Owner",(402) 213-2081
13,"First-Rate Construction, LLC","Omaha, NE 68106-3035","Mr. Dylan Pritchard, Owner",(402) 677-6401
14,Strasheim Home Improvements,"8631 Nicholas St, Omaha, NE 68114-2950","Mr. Sean A. Strasheim, Owner",(402) 245-0775
15,Kruse Caulking and Restorations,"Omaha, NE 68114-1658","Mr. William M. Kruse, Owner",(712) 420-2047
16,Floor & Decor,"9629 E Kellogg Dr, Wichita, KS 67207-1803","Mr. Michael Jacobs, Operations Manager",(316) 734-0550
17,Dworak Contracting,"Omaha, NE 68114","Mr. Philip C. Dworak, Owner",(402) 659-2540
18,Benson Floors,"8320 Webster St, Omaha, NE 68114-2957","Mr. Tom Meyer, President",(402) 551-2273
19,Sandy Kasner Carpeting/Wallcovering,"304 S 89th Ct, Omaha, NE 68114-4069","Mr. Frank Stanish, Store Manager",(402) 330-1330
20,"Tucci Painting Company, LLC","Omaha, NE 68132","Mr. Anthony J. Tucci, Owner",(402) 348-9924
21,"Do All Handyman & Remodeling, LLC","Omaha, NE 68132","Mrs. Jessica L. Rowell, Owner",(402) 990-4165
22,Hemeter Home Repair,"Omaha, NE 68132","Mr. Russell Hemeter, Owner",(402) 709-8957
23,"Artfull Flooring, Inc.","Omaha, NE 68132","Mr. Norman J. Emilo, President",(402) 660-5970
24,Purpose Driven Contracting,"Omaha, NE 68107","Joe Ross, Owner/Operator",(402) 968-4546
25,My Daddy's Handyman Services,"Omaha, NE 68132-3071","Mr. Howard Briles, Owner",(402) 813-9471
26,"Carter Kelly Floors, Inc.","8114 Maple St. Suite 1, Omaha, NE 68134","Mr. John W. Schorsch, President",(402) 575-1210
27,Smart Carpet,"6664 L St, Omaha, NE 68117-1021","Mr. Julian Piatek, President",(402) 331-1332
28,Mick's Wood Flooring,"5805 T St, Omaha, NE 68117-2351","Mr. Michael Riesberg, Owner",(402) 630-9066
29,"Timberland Hardwood Floors, Inc.","4816 S 60th St, Omaha, NE 68117-1621","Mr. Jerry Kleidosty, President/Owner",(402) 968-6909
30,Future Floors,"7009 L St, Omaha, NE 68117-1004","Mrs. Dorothy M. Massow, Secretary",(402) 330-1097
